chinese	english
全仗着狐仙搭救。	Because I was protected by a fox fairy.
过后，表哥告诉她俩，这人是导演，在外国留过学的，还会编剧，今天拍的这戏，就是他自编自导的。	He was the director, the cousin later told them. He had studied abroad and was also a screenwriter; in fact he had written and directed the scene they had earlier seen being filmed.
这凤姐忽然想起一件事来，便向窗外叫：“蓉儿回来！”	Xi-feng suddenly seemed to remember something, and called to him through the window, 'Rong, come back!'
三个老红卫兵走到叶文洁面前，面对着她站成了一排——当年，她们也是这样面对叶哲泰的——试图再现那早已忘却的尊严，但她们当年那魔鬼般的精神力量显然已荡然无存。	The three old Red Guards stood in front of Ye in a row—just like they had stood against Ye Zhetai—trying to recapture their long-forgotten dignity. But the demonic spiritual energy that had once propelled them was gone.
程先生照单全收，都是一个“谢”字，然后问王琦瑶有什么话说。	Mr. Cheng accepted their toast with equanimity and a 'thank you.' Then, turning to Wang Qiyao, he asked if she had anything to say.
程先生向来觉得她母亲势利，过去并不把他放在眼里，他在楼下叫王琦瑶，她连门都不肯开，只让老妈子伸出头来回话。	Mr. Cheng had always thought her a calculating woman. Back when he used to call on Wang Qiyao, she would never even bother to greet him but always sent the maid down to talk to him at the door instead.
按他的逻辑，我身上这个通红通红，直不愣登，长约一尺的东西就是罪恶的化身。	In his way of thinking, this red, stiff, foot-long thing on my body was the incarnation of evil.
他听沙瑞山讲她如何目睹父亲在“文革”中的惨死，讲她后来在建设兵团被诬陷，后来杳无音讯； 九十年代初才又回到了这座城市，在父亲曾工作过的大学中讲授天体物理学直到退休。	He listened as Sha told of how she witnessed the death of her father during the Cultural Revolution, how she was falsely accused at the Production and Construction Corps, how she then seemed to disappear until her return to Beijing at the beginning of the nineties, when she began teaching astrophysics at Tsinghua, where her father had also taught, until her retirement.
事情一时上有些弄反了，去片厂倒是为了照顾吴佩珍似的。	Before long, it was more like Wang Qiyao was doing her a favor by going with her.
“这等于说正确的哲学是从天上掉下来的。	'Then that's equivalent to saying that the correct philosophy falls out of the sky.
爷爷把三种物质拌匀，连同那张黄表纸，拍在伤口上，父亲帮着爷爷把那根肮脏不堪的绷带扎好。	After Granddad mixed the three substances together and covered the wound with them, paper and all, Father wrapped a filthy strip of bandage cloth around it and tied it tight.
藏在宫里，当然是普天下最稳妥的所在。	Mind you, look anywhere you like, you'll never find a safer place than this.
果然来的又是四名使者，为首一人下马抱拳，说道：“总舵主相请茅十八茅爷、韦小宝韦爷两位，劳驾前去相会。”	There were four messengers this time. Their leader, having dismounted from his horse, clasped his hands together respectfully: 'The Helmsman requests Mr Mao and Mr Wei to favour him with their company.'
只见史湘云大说大笑的，见了他两个，忙站起来问好。	Shi Xiang-yun was already there, laughing and chattering away nineteen to the dozen, but rose to greet them as they entered.
两人虽然没互相叮嘱，却不约而同地缄口不提。	It was implicitly understood between them that they should never broach the subject.
史强拿起一支笔，在桌面上画了两条弯曲的平行线，“这是运河，”	Da Shi picked up a pen and drew two parallel curves on the table. 'That's the canal.'
贾环道：“我拿什么比宝玉? 你们怕他，都和他好，都欺负我不是太太养的！” 说着便哭。	'How can I hope to compete with Bao-yu?' said Jia Huan, beginning to blubber.
我为此所惊，伏下身不动。	I was scared and stopped, leaning over her body.
海老公一惊，道：“皇上早知道了？”	The old eunuch was clearly startled by this. 'The Emperor knew this?'
只说这句就再不能说话了。	Those were the last words he ever uttered.
再回到医院，人已经进了产房，晚上八点便生下了，是个女孩，说是一出娘胎就满头黑发，手脚很长。	By the time he got back, Wang Qiyao had already been taken into the delivery room. It was a baby girl. She was born at eight o'clock. They told Mr. Cheng that she had long arms and legs and a full head of black hair.
等她回来，他便对她说，要不要替她去倒杯饮料？	When she came back, he asked her if he could get her a drink.
我这两套功夫，你这一生一世也来不及学得全了。”	In any case, you couldn't master my two kinds of kungfu if you spent a whole lifetime studying them.'
香色呢礼帽熟练地搧了他一个耳光，叫道：“说！	Chestnut Wool Cap slapped him across the mouth and shouted: 'Tell me!
韦小宝沉吟道：“你说怎么办？”	'What do you think we ought to do?' Trinket asked presently, as if he had been mulling the matter over in his mind.
王琦瑶就说：你还是没明白我的意思。	'I don't think so. . . .'
她默默地站了一会儿，转身走去，悲伤已感觉不到了，她现在就像一台盖革计数仪，当置身于超量的辐射中时，反而不再有任何反应，没有声响，读数为零。	She stood there for a while, silent. Then she turned and walked away. She could no longer feel grief. She was now like a Geiger counter that had been subjected to too much radiation, no longer capable of giving any reaction, noiselessly displaying a reading of zero.
父亲在墨水河里玩过水，他的水性好像是天生的，奶奶说他见了水比见了亲娘还急。	Father had gone swimming so often in the Black Water River that he seemed born to it. Grandma said that the sight of the river excited him more than the sight of his own mother.
父亲从高粱根下挖起一块黑土，用手搓得精细，撒在黄表纸上。	Father bent down and picked up a clod of dark earth near the roots of a sorghum stalk, crumbled it in his fingers, and spread it on the paper.
自从分手后，这是第一次见，中间相隔有十万八千年似的。	This was the first time they had been together since their parting. It felt like thousands of years since they had last seen each other.
好好儿的，家去做什么？”	'I'm perfectly all right. What should I want to go home for?'
绍琳大叫起来，又接着滔滔不绝地讲起了宇宙大爆炸，自然不忘深刻地剖析其反动本质。	Shao Lin shouted. Then she began a long lecture about the big bang theory, remembering to splice in insightful critiques of the theory's extremely reactionary nature.
顾炎武道：“痛快淋漓，真是绝妙好辞。”	'It says all there is to say, ' said Gu Yanwu. 'Masterly!'
它虽是捣乱也是认真恳切，而不是玩世不恭，就算是谣言也是悉心编造。	Though always making trouble, they are nevertheless earnest and sincere. Gossip is never cynical; even if the thing in question is nothing but empty rumors, the utmost care is still put into their creation.
有一点可以肯定，不管幽灵倒计时的尽头是什么，在这剩下的千余个小时中，对尽头的猜测将像恶魔那样残酷地折磨他，最后在精神上彻底摧毁他。	One thing was certain. No matter what was at the end of the countdown, in the remaining one thousand or so hours, the possibilities would torture him cruelly, like demons, until he suffered a complete mental breakdown.
我虽糊涂，却明白这两句话。	Even a simpleton like me knows that much!
王琦瑶还没到这一步，她的想头还有些枝叶花朵，在平安里黯淡的夜里，闪出些光亮来。	Wang Qiyao had not reached this stage. Her thoughts still had stems, leaves, and flowers, which glimmered in the dark night of Peace Lane.
