chinese,english,unsloth/Qwen2-0.5B-Instruct,unsloth/Qwen2-0.5B-Instruct(finetuned),unsloth/Qwen2-1.5B-Instruct,unsloth/Qwen2-1.5B-Instruct(finetuned),unsloth/Qwen2-7B-Instruct-bnb-4bit,unsloth/Qwen2-7B-Instruct-bnb-4bit(finetuned),gradientai/Llama-3-8B-Instruct-Gradient-1048k,gradientai/Llama-3-8B-Instruct-Gradient-1048k(finetuned),unsloth/Qwen2-7B-Instruct,unsloth/Qwen2-72B-Instruct-bnb-4bit,unsloth/Qwen2-7B-Instruct(finetuned),unsloth/mistral-7b-instruct-v0.3,unsloth/mistral-7b-instruct-v0.3(finetuned),unsloth/Qwen2-72B-Instruct-bnb-4bit(finetuned)
老耿端起枪，眯缝起一只三角眼，一搂扳机响了枪，冰雹般的金麻雀劈哩啪啦往下落，铁砂子在柳枝间飞迸着，嚓嚓有声。,"Old Geng picked up his shotgun, squinted, and pulled the trigger. Two sparrows crashed to the ground like hailstones as shotgun pellets tore noisily through the branches.","Old Teng holds his gun up, his eyes narrowed as he fired a round at the table. A boom of gunfire rang out as bullets fell like hailstones from the tablecloth. The sand grains were flying through the air with a cracking sound.","Old Geng raised his rifle and tilted his head towards a triangular eye. He fired, releasing a clunking bang that drove a cold feather of sparrows down from branches several feet away.","Old Jin raises his gun, squints one eye as he pulls it down, a shot rings out from the gun, hail of golden sparrows fall like rain, iron sand splashes in the willows, crackling sounds echo.","Old Geng raised his pistol, squinted through the gap in it, and emptied it. Ice pellets, tiny bits of lead, sprinkled them down upon the field, sounding tiny cracks in the willows.","Old Geng raised his gun, squinting one of his triangular eyes, and with a pull of the trigger, the gun roared. Golden sparrows, like hailstones, fell crashing down, and the iron sand splintered among the willow branches, making a crisp sound.","Old Geng raised his rifle and squinted into one of the odd eyes. Another pop, another shot, and yet more golden sparrows fell dead to the ground, their jangling wings turning the willow branches into little showers of iron dust.","The old man pulled out his gun, squinting one eye and cocked the trigger. The bullets flew down like hailstones, hitting the iron pellets and making a sharp cracking sound.","Old Geng raised his rifle, squinting through the triangle of the barrel's sight. He pulled the trigger. A pheasant was killed instantaneously and fell like ice mussels to the ground, where it struck the whistling sandbars in the willow grove with a series of loud thuds.","Old Geng raised his gun, squinted one of his triangular eyes, pulled the trigger once, and golden sparrows were falling like hail, their iron sand flying amidst the willow branches with a crisp sound.","Lao Geng raised his gun, narrowed one of his triangular eyes, pulled the trigger, and the gun went off; hail-like goldfinches fell with a crackling sound, and the iron pellets whizzed through the willow branches with a rustling noise.","Old Geng raised his rifle and squinted into the eye of the jackal, when suddenly it went off, killing several birds at once. The falling feathers danced in the air, as if raindrops of gold, while iron shot whistled and crackled amid the willow branches.","Geng Da initiates firing, squinting to form a triangular eye, a rattle is heard from the lever gun, ice hail-like goldfinches fall sharply, iron pellets fly sporadically among the willow branches, with a zzzip sound.","Old Geng aimed and fired. A triangular slit opened and closed, sending a shower of tiny bullets crashing to the ground.","Old Geng raised his gun, narrowed one of his triangular eyes, and pulled the trigger, sending a shower of golden sparrows raining down, like hailstones, amid a shower of flying buckshot that made a rustling sound as it struck the willows."
次日天未明时，刘老老便起来梳洗了， 又将板儿教了几句话； 五六岁的孩子，听见带了他进城逛去，喜欢的无不应承。,"Next day Grannie Liu was up before dawn. As soon as she had washed and done her hair, she set about teaching Ban-er a few words to say to the ladies at the great house – an exercise to which he submitted cheerfully enough, as would any little boy of four or five who had been promised an outing to the great city.","The next morning, Liu Geo woke up at five o'clock in the morning, as he got dressed again. He taught him some more words; children who heard of him coming to town were always ready to accept his advice.","But not before noon did Grannie Liu rise up and get herself out of bed again, after a little self-consciousness as to whether she should go off on her own again; and taking with her the instruction to take应收与太监平儿，来作见她大舅妈王琦瑶，王琦瑶颇多配合，还是一脸不高兴。","At dawn the next day, Liu Langlang got up early and washed his face. He taught him a few words as well. Five or six-year-olds like to go with their parents to visit places of interest.","She got up about dawn with a purpose already etched on her face. She had just seen her 'old friend' that morning and wanted to spend the day shopping; so she rose early, put on a dressing-gown, and began to prepare for their journey. There was to be a boy of five years with them that day: he was to be carried in a cradle and to behave himself very adequately or his mother would receive a severe retribution.","The next morning, before dawn, Old Liu rose to dress and clean herself, then taught Baoer a few words; a five-or-six-year-old child, hearing that he would be taken into the city for a stroll, readily agreed without hesitation.","First thing next morning Grannie Liu rose early, washed and combed herself, and drilled Ban-er with a few phrases to say. A child of five was thrilled by the prospect of going into the city with her.","The next day, when the sun had not yet risen, Liu Lao got up, washed himself, and then gave some instructions to his son. The five or six-year-old children who heard him going to the city were all eager to accompany him.","Grannie Liu got up before daylight was even visible in the sky and, after washing and brushing her teeth, took little Ban-er round to Grannie Li's for a few words before she went off on her expedition to the capital with the party from the manor house.","The next morning, before the dawn had fully broken, Old Liu rose to dress and groom herself, and then she instructed Bao'er with a few words; a five or six-year-old child would be delighted at the prospect of being taken into the city to wander about, and readily agreed to do as she wished.","Before dawn next morning, Granny Liu got up to wash and tidy herself up, and she also drilled a few phrases into her grandson. A child of five or six will agree to anything if you tell him he is going to be taken into town.","First thing in the morning Grannie Liu rose to attend to her toilette, then trained Ban-er to say a few words of greeting. Hearing that he would be going into the city with her in the afternoon, the little boy was beside himself with delight and willingly submitted himself to the recitations.","The next day, when it was still dark, Liu Lao Lao got up, combed and washed himself, and also taught a few words to the board. A five-to-six-year-old child, hearing that he was taken into the city for shopping, liked everything he saw.","Before dawn next day Grannie Liu got up and busied herself with her toilette. She then proceeded to drill Ban-er on some of the rudiments of speech, after which the little fellow, who was perhaps five or six years old, was taken off to town on a shopping expedition, during which he was allowed to indulge all his desires.","As soon as it was light, Grannie Liu got up and busied herself with her toilette. She also rehearsed Ban-er in a few simple phrases to be used on their visit, but the little girl, who had heard that she was to go with them into the town, was so pleased and excited that she would have answered 'Yes' to anything."
钱老板道：“是，是，多谢香主。” 在一张椅上坐了，续道：“属下将小郡主藏在猪肚里带进宫来，一来是为瞒过宫门侍卫的重重搜检，二来是要瞒过沐王府众人的耳目。,"'Thank you, Master,' said Butcher Qian, seating himself in one of the chairs and continuing. 'There were really two reasons why I hid the Little Countessinside this pig's carcass. One was to get her past the Palace Guard: they always search everyone at the gate. But it was also to get her past any of the Mu Family spies who might be out watching for us.","Money Master said, 'Yes, yes, thank you for your hospitality.' He sat on a chair and continued, ""The subordinate has concealed his little sister in a pig's belly and brought her into the palace. One reason is that he needs to deceive the guards of the court. Another reason is that he needs to deceive the eyes of the people in the Muxi Family.""","If you like,' said Butcher Qian sitting at a table on the other side of the door showed his guest a sympathetic way. 'you can imagine how grateful he was to the Master for giving him such an opportunity. He has been trying for some time to hide this little gem in the pig's belly inside the palace gate. It is two things: it will help to prevent the eunuch from searching them through the gates while they are going; and it will help to trick the Mu family into knowing what is going on.","Mr. Qian said, ""Yes, yes, thank you very much."" He sat down on a chair and continued, ""The subordinate took the princess to the pig's stomach and brought her inside the palace. One reason is to avoid being searched by the guards of the imperial palace; another is to avoid the ears of the沐 family.""","Of course,' said Butcher Qian gratefully. 'Thank you, Master. Now... how shall I say this? I brought her here the way we usually carry weapons to the Palace: by hiding her in one of the carcasses. That's to avoid checking the inside of the carcass; and mainly to avoid checking the cages where the Monarchs' enemies are kept.","Money Master said, ""Yes, yes, thank you for your concern, Chief Incense."" He then sat on a chair and continued, ""Subordinate hid the princess in the pig's stomach to bring her into the palace. The reason was twofold: firstly, to deceive the guards' thorough inspections at the palace gates, and secondly, to avoid suspicion from everyone in the Mu王府.""","Yes, Goong-goong, ' said Butcher Qian, and sat himself down. 'I stuffed her inside a pig's belly to get past the gate. That was for the guards at the gate; but I also needed to fool the people at the Mu Family's inn.","The boss said, ""Yes, thank you, Master. I sat down on a chair and continued, ""I brought the little princess hidden inside a pig's belly to avoid being detected by the palace guards and to avoid being noticed by the people of the Mo Wang's residence.""","'No, no, thank you,'said Butcher Qian, sitting down on one of the chairs. 'I carried her in my pig's belly to get her past the guards at the Palace gate and the Mu people at the Mu Warehouse.","Mr. Qian said, ""Yes, yes, thank you for your concern."" He sat down on a chair and continued, ""Subordinate hid the princess in the pig's stomach when bringing her into the palace. The purpose was twofold: first, to avoid detection by the guards at the palace gates; second, to keep the attention of the people in the Mu王府 away from her.""","Mr. Qian said, ""Yes, yes, many thanks, Perfumed Lord."" He sat down on a chair and continued, ""This subordinate hid the little princess in a pig’s stomach to bring her into the palace. Firstly, it was to evade the repeated searches by the palace guards, and secondly, it was to keep it hidden from the eyes and ears of everyone at the沐王府Muhu Temple mansion.""","Yes, Goong-goong, ' said Butcher Qian, sitting himself down at a table. 'I hid her in the pig's belly to fool the guards at the Palace gates and anyone else who might have been looking for her.","The boss said, ""Yes, yes, thank you, Madam. Sitting on a chair, he continued, ""I hid the young lady in a pig's belly and brought her into the palace to deceive the heavy scrutiny of the palace guards, and also to hide her from the eyes of the Mansion of Mansion King. ""","Many thanks, Master,' said Butcher Qian, and he sat himself down. 'I brought the Little Countess in here hidden inside a pig's belly to avoid the heavy search that would be made at the gate of the Palace; and to avoid the eyes of the Mu people, who might otherwise have seen her.'","Yes, yes, thank you, Master,' said Butcher Qian, and he sat down. 'Now about getting the Little Countess in,' he went on. 'I thought of hiding her in a pig's belly for two reasons. First, to get her past all those Palace guards without being searched; secondly, to stop anyone from the Mu Family finding out about her."
但已经晚了，物理学家静静地躺在地上，半睁的双眼看着从他的头颅上流出的血迹，疯狂的会场瞬间陷入了一片死寂。,"But it was already too late. The physicist lay quietly on the ground, his eyes still open as blood oozed from his head. The frenzied crowd sank into silence.","But it was too late; physicist lay lifelessly on the ground, half-opened eyes watching the blood from his head as he slowly sank into a dead silence.","But already too late: the physicist lay peacefully on the ground, his eyes open only half-opened; the blood flowing out of his skull was slowly drained through his ears, and the frenzied rally grew louder by the minute.","But it was too late. Physicists lay quietly on the ground, half open eyes watching the bloodstains from his head as the mad crowd suddenly fell into silence.",But it was too late. The physicist was already dead. He had opened his eyes and was looking at the blood-stained wrinkles on his forehead.,"But it was too late. The physicist lay quietly on the ground, his half-open eyes staring at the bloodstain spreading from his head, and the mad assembly fell instantly into a deathly silence.","But it was too late. The physicist lay on the ground, gazing up at the pool of blood that had spilled out of his head. The frenzied convention instantly turned deathly still.","But it was too late. The physicist lay still on the ground, his half-open eyes staring at the blood trickling down from his head. The frantic scene was suddenly plunged into a silent hush.","But it was too late. The physicist lay quietly on the ground, his eyes half open, staring at the blood trickling out of the wound on his head. The frenzied crowd was instantly silenced.","But it was too late. The physicist lay quietly on the ground, his half-open eyes staring at the blood seeping from his head, and the mad assembly fell instantly into a deathly silence.","But it was too late. The physicist lay quietly on the ground, his half-open eyes watching as blood flowed from his skull. The frenzied venue fell into a dead silence in that instant.","But it was too late. The physicist lay on the ground, his eyes half open as they stared at the pool of blood flowing out of his head. The frenzied convention turned instantly into a deathly silence.","The text is: ""But it's too late, the physicist Jiang Si Si lay still on the ground, half-open eyes watching the blood stains flowing from his head, the chaotic stage plunged into a silence.""

Translation: ""But it's too late, physicist Jiang Si Si lies still on the ground, half-open eyes watching the blood stains flowing from his head. The chaotic stage is suddenly plunged into silence.""","But it was already late. The physicist lay still on the ground, his eyes half-closed as he watched the blood flow from his head. The crowd went silent.","But it was too late. The physicist lay on the ground, his eyes half open, looking at the blood seeping out from under his skull. The once-crazed crowd fell into an eerie silence."
但这时，绍琳却做出了一件出人意料的事，与一位受迫害的教育部高干结了婚，当时那名高干还在干校住“牛棚”劳改中。,"But then Shao did something that no one expected. She married a persecuted high-level cadre from the Education Ministry. At that time, the cadre still lived in a 'cowshed' for reform through labor.","But this time, Rong Ling did something out of her wildest imagination. She got married to a high official who was being tortured by the education department, even though she had been staying in prison for several months under the ""dung barn"" program.","However, Shen refused to make a surprising announcement. She announced her marriage to a killed-off general in charge of the State Education Press Department at their house arrest while they were still in forced asylum.","But at this time, Shen Lin made a surprising decision by marrying a high official under forced persecution of the Ministry of Education who was still living in dormitories at the Re-education Camp during the period of forced labor in the dormitory.","But at that moment, Shao Lin did something unexpected. She married a victim of the Cultural Revolution who was living in the Bullpen where the high-ranking government official had been forced to spend his time. The man had been imprisoned for perverting the course of justice.","But at this point, Shao Lin did something unexpected: she married a senior education official who was being persecuted, while he was still serving time in reeducation through labor.","But then Shao Lin unexpectedly did something no one could have predicted: she married an educated youth who had been persecuted by the Ministry of Education. At the time, he was still living in the 'bull ring' in the reeducation center.","But at that time, Shao Lin did something unexpected by marrying a high-ranking official who was being persecuted by the government, who was then imprisoned in a labor camp.","However, at that moment, Shao Lin took an unexpected action. She married a persecuted academic who was detained in a cattle pen at the farm.","But then, in a surprise move, she married a high-ranking education official who was still being detained in a reeducation camp for intellectuals.","But, in a surprising move, she married a persecuted senior official from the Education Ministry who was still in a “cow shed” re-education camp.","But then, Shao Lin surprised everyone by marrying a persecuted high-level education official. The man was already in the ""cow棚"" at the agricultural training center.","Shao Lin surprisingly married a high-ranking official from the Education Department who was being persecuted and was living in a ""cow shed"" for labor reform at that time.","But then Shao Lin did something unexpected: she married a victimized high-level official in the Ministry of Education. The man was still in the 'cow barn,' or labor reform camp, when they tied the knot.","But at this time, Shao Lin did something unexpected. She married a persecuted high-level cadres from the Ministry of Education. At the time, her new husband was still in the 'cow pen' labor reform center."
湘云道：“你敢挑宝姐姐的短处，就算你是个好的。”,"'If you can find any shortcomings in Cousin Bao-chai', said Xiang-yun, 'you must be very good indeed.'","Qingyu said with a smile: 'If you dare to pick on Xiao Bai's faults, even if you're good enough.'""","That's true, if you don't have the patience to put behind you before making a move like that,' said Xiang-yun.","Xiang Yun said: ""You dare to find fault with my sister, then you must be a good one.""","If you'll dare pick on Bao-yu's shortcomings, I shall declare you a good boy,' said Xiang-yun.","Xiangyun said, ""If you dare to pick on Lady Bao's shortcomings, that would make you a good person.""","Why, you're always finding fault with Bao-chai! That makes you a really bad person!'","""Are you brave enough to challenge my sister's weakness? Even if you are good.""","'You dare to mention Aunt Bao's weakness,' said Xiang-yun, 'you must be a very good matcher of faces!'","Xiangyun said, ""If you dare criticize Miss Bao's shortcomings, that would make you a good person.""","Xiangyun said, ""If you dare to point out Big Sister Bao's faults, that counts you as a good one.""",How dare you go picking on Bao-chai's weaknesses!' said Xiang-yun. 'That's not being a good girl.',"Xiangyun Road: ""If you dare to pick on Auntie Bao, you are still a good person.""","If you think you can find fault with Bao Chai for anything, you'll know why they call you a good-for-nothing!'",You think you're a good one because you can find fault with Miss Bao?' said Xiang-yun.
他知道，这都是被转化为可见光的厘米微波，每团光晕的中心就是一个发射源，由于波长的原因，不可能看清形状。,"He realized that these were sources of radiation in the centimeter range, all now converted to visible light. At the heart of each halo was a radiation source. Because the original wavelengths were so long, it was impossible to see their shapes clearly.","He knows that this is visible light particles, each of which is a source of light from the center of the cluster of light. Due to the wavelength, it's impossible to see shape.","He knew that they had all been converted into visible light, where each patch of white light is a source of energy. Since the wavelength of the light determines the speed of waves, they wouldn't have been seen by the eyes—they would have only been heard.","He knew that these were centimeter microwaves that had been converted to visible light, each halo's center being a source of emission. Since wavelength was the reason, they couldn't be seen in shape.","By the time he had learned this, the cm waves had been converted into visible light, which surrounded the two spots of light. The center of each cloud was a source of radio emission, too difficult to see against the dark background.","He knew that these were centimeter microwaves converted into visible light, with each halo centered on a source, and due to the wavelength, it was impossible to discern their shape.","He knew that the incoming stream of radiation had been converted from centimeter wavelengths to visible light. The central peak of each 'dawn' was the source of the emission, but seeing the shape was out of the question, not because of the wavelength, but because of the size of the structures involved.","He knows that these are all converted into visible light, and each cluster of light rings has a source of emission, due to the wavelength, it is impossible to see the shape.","He knew that they were picking up only a tiny fraction of the total electromagnetic radiation emitted by the structure, and that the central region of each halo corresponded to a source. The shape of the source couldn't be resolved given the wavelength of observation.","He knew that these were all centimeter microwaves converted into visible light, with each halo centered around a source of emission; the shapes could not be discerned due to the wavelength.","He knew that this was centimeter microwaves converted to visible light; at the center of each glow was a transmitter. Because of the wavelength, it was impossible to make out its shape.","He knew that this was all converted centimeter microwave converted into visible light. Each spherical halo had a single source at its center. Since the wavelength was too long, he couldn't distinguish the shape of the sources.","He knows that these are centimeters of microwaves that have been converted into visible light. The center of each glimmer is a source, due to the wavelength, it is not possible to see the shape clearly.","He knew that the shifts in color represented the conversion of microwaves into visible light, and that the center of each patch was a source of emission. Because of the wavelength, it was impossible to make out the shape of the emitting objects.","He knew that these were all centimeter waves converted into visible light. There was a transmitter at the center of each halo, and it was impossible to see their shapes because of the wavelength."
海老公问起今日做了什么事，韦小宝说了到鳌拜家中抄家，至于吞没珍宝、金银、匕首等事，自然绝口不提，最后道：“太后命我到鳌拜家里拿两部《四十二章经》……”,"When Old Hai asked what he had been doing that day, Trinket told him that he had been helping supervise the confiscation of Oboi's estate. He concluded his account—which of course omitted any mention of the dagger and various other valuables that he had pocketed for himself—by telling him about the two copies of the Sutra in Forty-Two Sections that had been discovered in Oboi's house.","The Prince of Han asked what he did today, and Wang Xiaobao said that he had taken the house of the Emperor to plunder. He denied any mention of things like stealing treasures, precious metals, or knives. Finally, he said, ""太后命令我去到鳌拜的家中拿两本《四十二章经》…""","The old eunuch asked what had brought him there. Trinket answered, mentioning that he had gone to Oboi's house to take away the family jewellery and property. In answer to his question about the several books in the Sutra, Trinket made no mention of any knife, dagger, or other lethal instrument he might have carried with him. 'I'm to carry out the Empress Dowager Wang's order,' he said, 'and I took two volumes of the Four Senses Book....'","Qiao Ling asked about what he did today, and Hu Xiaoliang said he went to抄了阿思哈家的家产，至于吞没的珍宝、金银、匕首等事，他当然绝口不提。最后说，“太后让我去鳌拜家里取两部《四十二章经》……”","The old eunuch asked him what he had done today. Trinket told him he'd gone to Oboi's place to seize two copies of the Sutra in forty-two chapters. He didn't bother telling him about the swords and coins. When he finished, he said: 'The Empress Dowager sent me to Oboi's home to get two copies of the Sutra . . .'","The Old Sea Man asked what he had done that day, and Wei Xiaobao told him about searching the Bai Bao's house. Of course, he didn't mention the treasure or the gold and silver or the knives. He finally said, ""The Empress Dowager ordered me to fetch two copies of the 'Forty-two Chapter Sutra' from Bai Bao's house...""","The old eunuch asked what he had done that day. Trinket told him that he had been searching for the copies of the Sutra in the home of Oboi; he left out the bit about seizing the treasure, and added, 'The Empress Dowager wanted me to take two copies of the Sutra away from his place.'","""Grandpa asked me what I did today, and I told him I went to the Hualong Palace to search for treasure, but I didn't mention anything about stealing from the palace. Finally, I said, ""The Empress Dowager asked me to go to the Hualong Palace to retrieve two copies of the '42 Chapters of the Scripture'.""","The old eunuch asked what he had been doing all day. Trinket told him about the trip to Oboi's place, being forced to swallow the precious stones, the knife-hilt, and so on; nothing, of course, about his own adventures. Finally he said, 'The Empress Dowager told me to go to Oboi's and get the two copies of the Sutra.'","When the Sea Grandpa asked what he had done that day, Wei Xiaobao told him about raiding Ao Bao's home. Of course, he didn't mention the treasures, gold, silver, daggers, or anything else. He concluded, ""Empress Dowager ordered me to fetch two copies of the 'Forty-two Chapter Sutra' from Ao Bao's house...""","Hai asked what he had been up to that day, and Wei Xiaobao told him about ransacking Au’s house, but naturally he did not mention a word about embezzling treasures, silver, gold, or the dagger. Finally, he said, ""The Empress Dowager ordered me to go to Au’s house to retrieve two copies of The Scripture of Forty-two Sections…""","The old eunuch asked what he had done that day. Trinket explained about seizing the opportunities presented by Oboi's arrest to search his house and seize the treasure, leaving out the details of killing the guards and taking the knives, and ending: 'The Empress Dowager asked me to go and get two copies of the Sutra in Forty-Two Sections from Oboi's place...'","Wei Xiaobao told Old Master that he had done something today, but he did not mention the matter of looting the Ao family's house, swallowing treasures, gold, silver, or swords. Instead, he said, ""The Empress Dowager ordered me to go to the Ao family's house to get two copies of the 'Forty-Two Chapters.'""",The old eunuch wanted to know what he had done that day. Trinket told him that he had gone to Oboi's and helped himself to a couple of copies of the Sutra. 'The Empress Dowager wants me to go to Oboi's to fetch a couple of copies of the Sutra—',"The old eunuch asked him what he had been doing that day and Trinket told him about the raid on Oboi's house, careful however to make no mention of the jewels, the ingots of silver, or the dagger he had appropriated. At the end of his account he said, 'The Empress Dowager wanted me to get two copies of the Sutra of Forty-Two Sections from Oboi's place . . .'"
“老克腊”是这粗糙时尚中的一点精细所在。,"In this crude and uncultured fashion world, the 'Old Colours' were the stewards in charge of safekeeping refinement.","The ""Old Krish"" is a piece of the refined fashion that lies within this coarse style.",There is something rare about Old Colour.,"Old Crack"" is a bit of refinement in this rough, trendy scene.",Old Colour was a bit of refinement nestled among the scruff and chaos of those streets.,"Old克腊"" is a touch of refinement amidst this rugged elegance.","But then again, 'Old Colour' was the精细 that existed within this coarse fashion.","""Old Kras"" is the refinement amidst the coarseness of this avant-garde fashion.",It is where the stylish are fine.,"Old Keli"" is a touch of refinement amidst this rugged elegance.","Lao Ke La"" is a touch of refinement in this rough and ready fashion.",But 'Old Colour' was the one elegant touch in this rough mix.,"Old Crew"" is a touch of finesse in this rugged fashion.",Old Colour' represented a certain sophistication in this rough-hewn style.,Old Colour' was a touch of refinement in this rough-and-tumble world.
我现在有家有口，已经学了不少好。,"Now that I have a wife and family, I have learned a lot about how to be good.",Now I have a home and family. I've learned quite a bit.,Now I have a home and a place to live. I've learned a lot during this time.,I have a home and family now. I've learned many good things already.,"I had a home, a family, and could now do things that I couldn't have done if I had been homeless.","I now have a family, and have already learned much that is good.","Now that I have a family of my own, I've had to learn quite a lot.","I now have a home and family, and have learned many good things.","I have a wife and children, and I've already learned what it means to be good.","Now that I have a family, I've already learned a lot of good things.","Now that I have a family, I've learned a lot of good things.","Now that I have a family of my own, I've learned a lot.","I currently have a home and a mouth, and I have learned quite a bit.",I already have a family and have learned a lot.,"I have a family now, and have already learned quite a bit about what it takes to be good."
