chinese,english,unsloth/Qwen2-0.5B-Instruct-bnb-4bit,unsloth/Qwen2-0.5B-Instruct-bnb-4bit(finetuned),unsloth/Qwen2-1.5B-Instruct-bnb-4bit,unsloth/Qwen2-1.5B-Instruct-bnb-4bit(finetuned),unsloth/Qwen2-0.5B-Instruct,unsloth/Qwen2-0.5B-Instruct(finetuned),unsloth/Qwen2-1.5B-Instruct,unsloth/Qwen2-1.5B-Instruct(finetuned)
老耿端起枪，眯缝起一只三角眼，一搂扳机响了枪，冰雹般的金麻雀劈哩啪啦往下落，铁砂子在柳枝间飞迸着，嚓嚓有声。,"Old Geng picked up his shotgun, squinted, and pulled the trigger. Two sparrows crashed to the ground like hailstones as shotgun pellets tore noisily through the branches.","Old Teng raised his gun, closing his eyes and gripping a triangular eye. A boom of bullets rang out as he fired one, like thunder crashing down. The hammering sound of steel stones echoed through the branches of the trees. 

The noise was so loud that it made my heart beat faster.","Old Geng raised his rifle, squinted his triangular eye, and fired – a gun, like a ladle, crackled as the shot fell down towards him.","Old Geer lifted his gun, squinting one eye as he pulled the trigger. A hail of bullets rained down from his rifle. Golden sparrows plopped down from the trees, sandstones flying through the willows, making a clattering sound.","Old Geng raised the pistol to his eye, squeezed the trigger, and some of the shot flew straight into the sky, like ice pellets, as spattered tin shells burst against the willows.",Old耿举起枪，眯着眼睛，枪声轰鸣，子弹砰砰砰地落在地上，一颗颗冰雹般的大鸟扑棱棱地落在柳树之间，咔嚓一声。,"Old Geng raised his rifle and tilted his head, clasping the trigger, and a crash of iron shrapnel fell beside him, splashing over time boundaries and scattering like ice rain.","Old Geer lifted his gun, squinted one of his eyes, clutched it, and fired off a shot like hail of golden sparrows, sand grains flying from the willows, making a sound.","Old Geng raised his gun, squinted, and emptied it. The cocoon of bullets split open as they flew, like ice pellets, until it was gone, sending chiseling sounds tumbling through the air as iron seeds smashed pruneflower stems."
次日天未明时，刘老老便起来梳洗了， 又将板儿教了几句话； 五六岁的孩子，听见带了他进城逛去，喜欢的无不应承。,"Next day Grannie Liu was up before dawn. As soon as she had washed and done her hair, she set about teaching Ban-er a few words to say to the ladies at the great house – an exercise to which he submitted cheerfully enough, as would any little boy of four or five who had been promised an outing to the great city.","The next morning at six o'clock in the morning, Liu Geogao rose up and washed his face, as he had told him a few words about his daughter. Five years old children heard him coming out of his house, and all agreed that they should be taken care of by him.","But not till very early in the day did Grannie Liu rise up from her bed to prepare herself; she would have insisted on more梳妆的时候，但听到板儿反复地说过以下词儿： ""要到城里逛逛，城里的商场哪儿好玩，就去哪儿玩。""","The next morning, before dawn, Liu Lao got up and washed himself; he also taught the boy a few words. Five or six-year-old children like to go to the city with him.","In the early hours of the morning she rose and began her grooming, reminding Ban-er of a few words to say on their visit. By the time they set out for their destination Ban-er was so excited that he practically agreed to carry them all the way to the market.","The next day morning when the sun was still rising, Liu Geogon got up and washed himself. He taught him a few words of Mandarin; five-year-olds who heard him speak were all willing to take him along with them.","First thing that morning the old lady did rise up from her bed was to go over and straighten herself up before going out again; then she had Trinket read his letter-to-x, and had him repeat the words he wanted him to remember by very loud voices; then she told him how it was intended to take its place as a guide-post in the new city; and then, when the two of them was back in their own quarters once more, she told her what she had said to Grannie Liu.","The next morning, Liu Langlang got up early and washed her face; she taught him a few words too. A five-year-old child liked to go with his father to the city.","In the predawn light she arose, dressed, and began preparing a message to be delivered to Tangys' quarters. She instructed Ban-er in a few phrases of Mandarin and left him with a passion for the journey ahead. A five-year-old boy was happy to agree to go anywhere as long as he was not taken on a long trip."
钱老板道：“是，是，多谢香主。” 在一张椅上坐了，续道：“属下将小郡主藏在猪肚里带进宫来，一来是为瞒过宫门侍卫的重重搜检，二来是要瞒过沐王府众人的耳目。,"'Thank you, Master,' said Butcher Qian, seating himself in one of the chairs and continuing. 'There were really two reasons why I hid the Little Countessinside this pig's carcass. One was to get her past the Palace Guard: they always search everyone at the gate. But it was also to get her past any of the Mu Family spies who might be out watching for us.","Money boss said, 'Yes, yes, thank you.' He sat on a chair and continued: ""The underling will take the little princesses in the pig stomach and bring them into the palace. One is for hiding from the imperial guards and the other is to hide from the ladies of the court.","If your highness likes,' said the butcher, 'I'll make a little刍婢躲入猪肚之中,要以防主人用刀子狠命劈去,要他观瞧后门的卫士们严加搜索,也要躲着他家众多忠心相候的小太监的目光。","Mr. Qin said, ""Yes, yes, thank you very much."" He sat on a chair and continued, ""My lord will hide our young lady in the pig stomach, so that we can avoid the thorough searches of the palace guards and the ears of the沐 Halls' people.""","Of course,' said Butcher Qian politely, sitting down in a chair and continuing: 'I brought her here the day she was captured. First of all, of course, to avoid the searches made by the guards at the Palace Gate; and secondly, to avoid arousing the attention of the Mu folk.","Money man said, 'Yes, yes, thank you.' He sat down on a chair and continued: ""The servant of the lord brought his lady to be hidden in a pig's stomach in the palace. One reason was to hide from the guards who checked the gate of the palace, another was to hide from the people at the palace's court.""","Allow me to introduce the butcher,' said Butcher Qian, sitting down on a seat at one side of the doorway. 'We've been hiding her in the pig's gut inside the gate of our palace, so far as the guards and the people within know, it's to help them search the gates; and also to help you and the Mu lords avoid those little troopers of theirs—well, that's what we call it.","Mr. Qin said, ""Yes, yes, thank you very much."" He sat down on a chair and continued, ""My subordinate brought the little princess into the palace secretly, first to avoid the thorough searches of the guards at the gate, secondly to hide her from the ears of the沐王府众人.""","Of course,' said Butcher Qian melodramatically. 'I'd do anything for my Master! I hid her in one of the pigs' tumours so that we couldn't be searched by the Palace stewards; and to keep them from hearing about her."
但已经晚了，物理学家静静地躺在地上，半睁的双眼看着从他的头颅上流出的血迹，疯狂的会场瞬间陷入了一片死寂。,"But it was already too late. The physicist lay quietly on the ground, his eyes still open as blood oozed from his head. The frenzied crowd sank into silence.","But it was too late; physicist lay on his feet, half closed his eyes as he watched the blood that flowed from his head, a chaotic scene swept across the stage instantaneously.","But already it was too late: the physicist lay peacefully on the ground, his eyes open only half-opened. The blood that flowed down his head dried up immediately, and the chaotic meeting became another killing cry.","But it was too late. Physicists lay quietly on the ground, half open eyes staring at the bloodstains flowing from his head, the mad meeting immediately plunged into a dead silence.","But it was too late. The physicist lay motionless on the floor, half open eyes following the blood flowing from his skull. The frenzied crowd suddenly fell into an eternal silence.","But it's too late, the physicist lay on his hands and half open eyes watching as his head was dripping with blood. The dead silence of the crowd instantly enveloped him.","But already too late: the physicist was dead, sprawled on the floor, his eyes open only half-opened watching the blood that flowed from his head turn into oneingletonhell.","But it was too late. The physicist lay quietly on the ground, half-opened eyes looking at the bloodstains dripping from his head, the frenzied gathering instantly plunged into a dead silence.","But it was too late. The physicist lay quietly on the floor, half open. His eyes watched the blood flowing from his forehead. The frenzied crowd suddenly fell into an instant silence."
但这时，绍琳却做出了一件出人意料的事，与一位受迫害的教育部高干结了婚，当时那名高干还在干校住“牛棚”劳改中。,"But then Shao did something that no one expected. She married a persecuted high-level cadre from the Education Ministry. At that time, the cadre still lived in a 'cowshed' for reform through labor.","But then, Robinson did something out of the ordinary when he proposed marriage to a senior high school official who was being persecuted by the Department of Education. At that time, that official had been in prison for two months at the time she married him.","However, she made a surprising decision. She married someone affected by suppressed feelings of shame at being employed as a high-level official in the State Education Department with a contract that would expire soon. The man still was in forced labor at the time of their marriage.","But at this time, Shuanglin made a surprising move – he married one of the high officials who were being persecuted by the education department. At that time, the high official was still living in a work camp during forced labor at the dormitory.","But suddenly, Shao Lin made an unexpected move: she married a high-level government official who had been persecuted during the Cultural Revolution and was now living in the牛棚中受审查。","But then, when she did so, Wang Ling made a surprising thing out of her: she married someone from the Department of Education who was being forced into prison. The former high official had still been living in a 'garden' at the school where he had spent three years in prison for having committed a crime.","But she made a surprising decision. She got married to someone who had suffered under pressure at the Central Education Staff Commission: at that time, that commission was still undergoing forced confession in the cellars and labor camp.","But at this time, Shao Lin did something unexpected – he married a high official who was under forced persecution of the Education Department. At that time, that high official was still living in the “reeducation camp” after being sent back from the “work camp.”","But suddenly, Shao Lin made a surprise marriage: she married a high-ranking state official who was being persecuted, then Shao Lin would spend several days in the bullpen of the detention center where the oppressed official had been forced to work."
湘云道：“你敢挑宝姐姐的短处，就算你是个好的。”,"'If you can find any shortcomings in Cousin Bao-chai', said Xiang-yun, 'you must be very good indeed.'","Tian Yun said, ""If you dare to pick up on my shortcoming, even if you are a good person.""","Even if you pick on Bao-yu for a start,' said Xiang-yun (it was likely that she had in fact picked on Bai-yu at some previous occasion), 'you wouldn't be a good man.'","Xiang Yun said, ""You dare to point out the shortcoming of Bai Jie'er? That's what you call a good one.""","If you敢说宝姐姐的坏话，我就叫你成为废物'; 'If you say a word against Bao-chai, I'll make you one!'","Qiu Chen said, ""If you dare to pick up my sister's shortcoming, even if you're a good person.""","No one can ever complain because you have picked on her,' said Xiang-yun. 'Even if you were a nice girl, it would still be worth while.'","Xiang Yun said, ""You dare to pick out the short of Bai Jiao'er? That's all right.""",If you敢说宝姐姐不是才学好的，那你就了不得！'
他知道，这都是被转化为可见光的厘米微波，每团光晕的中心就是一个发射源，由于波长的原因，不可能看清形状。,"He realized that these were sources of radiation in the centimeter range, all now converted to visible light. At the heart of each halo was a radiation source. Because the original wavelengths were so long, it was impossible to see their shapes clearly.","He knows this is all a visible light pulse, each cloud of light has one source of emission, which cannot be seen because its wavelength is limited.","He knew that they had been transformed from visible light into microwave rays—each speck of light was a source of energy, and since the wavelengths were large enough to be seen by雷达波组，they wouldn't be able to identify shape.","He knew that these were centimeter microwaves converted into visible light, each halo centering on a source, impossible to see their shapes due to wavelength.","By the time he reached them, all of the converted light had been seen as visible rays of cm waves. The centers of each patterned glow was the source of the radiating object. Since the wavelength was too short to see with the unaided eye, they were impossible to identify.","He knows that this is a wave of millimeters that has been converted to visible light, each cluster of light is a source of light, because wavelength reasons, it's impossible to see shape.","He knew that they had all been converted from visible infrared to可见光，每一束光晕的中心都存在发射源。 Since the wavelength of each wave is too short to be seen with the naked eye, they will never be detected directly.","He knew that this was centimeter microwave radiation being converted into visible light, with each halo centering on an emission source; since wavelength, they could not see the shapes clearly.","By the time he was converted into visible light, all of this cosmic dust had been bent by the sun around the stars whose interiors were shown as glowing spots."
海老公问起今日做了什么事，韦小宝说了到鳌拜家中抄家，至于吞没珍宝、金银、匕首等事，自然绝口不提，最后道：“太后命我到鳌拜家里拿两部《四十二章经》……”,"When Old Hai asked what he had been doing that day, Trinket told him that he had been helping supervise the confiscation of Oboi's estate. He concluded his account—which of course omitted any mention of the dagger and various other valuables that he had pocketed for himself—by telling him about the two copies of the Sutra in Forty-Two Sections that had been discovered in Oboi's house.","Qian Pei asked what he did today. Wen Xiaoping said that he was sent to the house of the emperor and took away all the jewels, silver, and daggers. Naturally, no mention was made of those things."" Finally, he said: ""The Empress太后 gave me two volumes of the Four Twenty-Seven Chapter Book.""","The old eunuch asked what he had done that day. Trinket answered him that he had gone to Oboi's house to take away all the properties of the Empress Dowager. As he did not want to mention the two volumes of the Forty-Two Sections Sutra that he had taken from Chu Bai, he went on to say that 'Her Ladyship had ordered me to take a book of the Four-Times Chapter Texts from He Yu.'","Kangxi asked about what he did today, and Huagong said that he went to抄家鳌拜家中，至于吞没珍宝、金银、匕首等事，当然绝口不提，最后说：“皇太后让我去鳌拜家里取两部《四十二章经》……”","Old Hai asked what he had been up to that day. Trinket told him he'd gone to Oboi's home and helped out the officials searching for treasure. He didn't mention the gaggle of gold and silver chisels, or the couple of copies of the Sutra in four parts that he had actually snatched. The old eunuch ended his question by asking, 'And what did the Empress Dowager tell you to do when you got there?'","The old man of heaven asked him what he did today. Weiqi Baogang said that he had gone to the home of the Emperor to steal and plunder treasures, gold, silver, and knives, all of which were not mentioned at all. Finally, he said, ""My mother gave me two copies of the Four Twenty-Two Book.""","After plucking a few moments' particulars from the old eunuch's collar, Trinket finally withdrew to his room, where he told him what he had stolen from Oboi: 'I went to see the Empress Dowager Wang and she gave me these books on Thursday... .'","Hai Gou asked about what he did today, and Hu Xiaopang said that he went to a house belonging to Aobai, and then he swallowed precious things, gold, swords and so on. He naturally did not mention it. Finally, he said, ""Empress Dowager ordered me to get two copies of the Fourty-two Chapters.""","The old eunuch started the conversation by reviewing his recent actions, starting with what he had done today: visiting Oboi's residence and helping himself to treasures. He made it clear that he was not going to mention the knives and coins he'd swallowed. 'The Empress Dowager sent me to Oboi's place to get two copies of the Sutra in Forty-Two Sections . . .'"
“老克腊”是这粗糙时尚中的一点精细所在。,"In this crude and uncultured fashion world, the 'Old Colours' were the stewards in charge of safekeeping refinement.","Khatri"" is one of those small touches that make this look more refined.",Those are a few signs indicating that Old Colour was a bit refined among the ragged corners of this粗鄙时尚的流行。,"Old Krack"" is a bit of fine detail in this rough, fashionable world.","Old Colour was a bit of refinement in the crude, chaotic world of Shanghai.","Krak"" is one of the fine details in this rough and fashionable piece.",Those are the rare exceptions in this ragged sense of the word that constitute a fraction of those that do.,"Old Kraw"" is a bit of refinement amidst this rough and stylishness.",Old Colour was a concession by which things could be slightly different here and there.
我现在有家有口，已经学了不少好。,"Now that I have a wife and family, I have learned a lot about how to be good.",I have a home and a mouth. I have learned much good.,"Now I have a place of my own and a decent job, and I've learned a lot during that time.",I have a home with children and I've learned many good things.,"I had a home, a family, and could now thank heaven for education.","I have a home and family of my own, I have learned a lot.",Now I have a home and a friend. I've learned quite a bit.,"I have a home and family now, I've learned much good things already.",At present I had a home and a family and I was already fairly well educated.
